"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","6","77","2","0"
"","As a controller developer, I would like to have be able to resolve ProvidedCapabilities at different levels of scope so that we can find the optimal balance of reuse of our Capabilities","","0","0","14","0","0"
"","As a support developer, I would like perform common operations on the ProvidedCapability resources through a simple interface to reduce the learning curve","","0","7","0","2","0"
"","As a controller developer, I would like to specify how my image gets deployed providing only the essential configuration so that  I can focus on my development tasks","","0","0","5","1","0"
"","As a controller developer, I would like to implement a controller that responds to CapabilityRequirements so that I can extendKubernetes with my own controllers","","0","0","4","0","0"
"","As a controller developer, I would like to mount persistent storage in the deployed container so that I can store files that persist beyond pod restarts","","0","0","1","1","0"
"","As a controller developer, I would like to request the Database capability so that I can deploy containers that use the database","","0","0","2","0","0"
"","As a controller developer, I would like to request the OIDC capability so that I can use it to provide single sign on to my users","","0","0","3","0","0"
"","As a controller developer, I would like perform common operations on the relevant Kubernetes resources through a simple interface to reduce the learning curve","","0","1","0","0","0"
"","As a support developer, I would like perform common operations on Services and Endpoints resources through a simple interface to reduce the learning curve","","0","1","2","0","0"
